server_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
PoolText,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
Preprints.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,1853,5270,3372,6090,6918,5393,19945,26033,27936
Prepublicaciones OpenCiencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
PropylaeumDok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,3335,416,375,370,209,371,292,599,355
PsyArXiv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,675,2396,3546,6274,6634,6236,6723,6983,8607
Qeios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,68,150,323,1196,1041,455
RePEc: Research Papers in Economics,3375,3912,4168,4159,4190,5065,5351,5611,6392,7109,8013,8092,9196,11161,13134,15020,15628,15607,16629,17666,18649,19175,18795,19710,20279,20296,19039,14269,11708,9899,10772,6803,501,153,312,170
Research Square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,9771,45377,67298,67873,76359,67924,55284
ResearchGate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,120,117,704,12319,17055,22087,18224,13071,18225,27453,38148
ResearchHub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,140,155,1016
SAE Mobilus®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,16,13,0
SSRN,4,11,7,9,7,25,165,584,1302,1631,3130,4562,4415,6364,6059,8027,9253,11325,15516,17435,19966,22278,24845,24690,23453,22861,23436,25312,27569,33654,40961,53070,116295,141480,193195,237906
SciELO Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,501,608,688,773,1007
ScienceOpen Preprints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,138,229,277,275,286,350
Sciencepaper Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,78
