server_name,server_name_rule_file,source_id,server_main_page_link,is_active_2026,scope_group,ownership_group,submission_group,researcher_can_submit,is_preprint_only,platform_model,review_type_group,versioning_available,publication_status_tracking,can_identify_peer_reviewed_version,has_medical_warning,has_server_statistics,has_preprint_metrics,raw_disciplinary_scope,raw_ownership_type,raw_submission_text,raw_screening_processes,raw_external_content_indexing,raw_permanence,raw_charges,raw_self_definition,raw_platform_model,raw_versioning,raw_publication_status,platform_type_group,screening_level,has_warning_label,has_non_peer_review_notice,indexed_google_scholar,indexed_crossref,indexed_europe_pmc,indexed_pubmed_pathway,indexing_group,permanence_group,charges_group
Advance: a SAGE Preprints Community,Advance,Advance,https://advance.sagepub.com/,No,Social sciences,Publisher,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,Humanities and Social Sciences,Publisher,Not Active,"Content within scope, scholarly nature, manuscript is complete, legal and ethical compliance (via author declaration), no confidential or harmful material","Google Scholar, CrossRef",Permanent with some removal options in exceptional circumstances,,preprints community,No,,,Other / unclear,Strong screening,Yes,Yes,Yes,Yes,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
AfricArxiv,AfricArXiv,AfricArXiv,https://africarxiv.ubuntunet.net/home,Yes,Multidisciplinary,Academic community group,Researcher (specific eligibility),Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,No,All scientific fields,Academic community group,Researcher (specific),,"Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with some removal options in exceptional circumstances,,community-led digital archive,No,"We also provide options to link data and code, and for article versioning.",,Community archive,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
AgEcon Search,"AgEcon Search (University of Minnesota, USA)",AgEcon Search,https://ageconsearch.umn.edu/?ln=en,No,Economics & business,Academic institution,Organization / institution,No,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,Relating to agricultural & applied economics,Academic institution,"Organizations, not individual researchers",,,Permanent with some removal options in special circumstances,"There are no costs for posting papers for groups who designate someone to fill out the submission forms and upload papers.

There is a small charge per paper for groups that have each author submit their own papers, or have staff at the University of Minnesota assist with the process. Charges are from 1 to 5 USD per paper depending on how much extra processing is involved, for example adding conference cover pages, or splitting journal issues into individual articles prior to uploading.

If your group has older papers that need to be digitized and uploaded, the coordinators can help you with that process, or arrange to have it done for a fee.",,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with limited removal exceptions,Some fees
AgriRxiv (formerly AgriXiv),AgriRxiv,AgriRxiv,https://www.cabidigitallibrary.org/journal/agrirxiv,Yes,Life sciences & biomedicine,Academic community group,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Yes,No,"Relating to agriculture and allied sciences, including life sciences, social and behavioural sciences",Academic community group,Researcher,"Content within scope, no inappropriate material, basic format and quality checks","Google Scholar, Crossref, Researcher-app; Preprints deposited in agriRxiv are indexed in Europe PMC, Google Scholar, and CAB Abstracts.",Permanent with withdrawal marking; articles cannot be removed but may be labeled ‘Withdrawn’ at author’s request,There is no fee to submit articles to agriRxiv,source of unpublished preprints,No,,,Other / unclear,Basic screening,No,No,Yes,Yes,Yes,No,Broadly indexed,Permanent with withdrawal marking,Free
AIJR Preprints,AIJR Preprints,AIJR Preprints,https://preprints.aijr.org/index.php/ap,Yes,Multidisciplinary,Publisher,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,No,No,All scientific fields,Publishing organisation (publisher),Researcher,"Content within scope, manuscript is complete (structure, references), ethical compliance, metadata complete, basic article quality, formatting and citation checks","Europe PMC
    Google Scholar
    CORE
    CrossRef
    Scilit
    OUCI
    BASE",Permanent with withdrawal marking; articles cannot be removed but may be labeled ‘Withdrawn’ at author’s request,"There is no fee for submitting and publishing in AIJR Preprints, approved articles will get published on a dedicated article URL.",preprint server,No,"The latest version of the article will automatically get updated at the same URL. (Updated on July 2021). `| The author may submit the article for peer-reviewing to any scholarly publication and when it gets accepted/published, the author should update with DOI of the peer-reviewed version.",,Preprint server,Strong screening,Yes,Yes,Yes,Yes,Yes,No,Broadly indexed,Permanent with withdrawal marking,Free
AMRC Open Research,AMRC Open Research,AMRC Open Research,https://healthopenresearch.org/,Yes,Multidisciplinary,Funder,Researcher,Yes,No,Hybrid / mixed,None,Yes,Unknown,Unknown,No,Unknown,No,"Broad life & biomedical research, including basic scientific, translational, applied and clinical research",Funding organisation (funder); Membership organisation,Researcher,"Content within scope, Author affiliation verification, Text overlap detection, Basic suitability for peer review, Formatting check, Manuscript is complete (methods), Data is available (if applicable), Code is available (if applicable), Ethical & legal compliance, Reporting standards compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in special circumstances,"yes | APCs in Health Open Research are based on article type. This is in recognition of the varying editorial time and effort involved in publishing different article types. APCs are payable upon acceptance of the article, regardless of the peer review outcome.",publishing venue,Yes,yes,,Publishing venue / platform,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,APC / publication charges
APSA Preprints,APSA Preprints,APSA Preprints,https://preprints.apsanet.org/engage/apsa/public-dashboard,Yes,Social sciences,Scientific society,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,No,No,Relating to political science,Scientific society,Researcher,"Content within scope, scholarly nature, text overlap detection, legal and ethical compliance, not previously published, language requirement (English only), no inappropriate, confidential, or harmful material",,Permanent with some removal options in special circumstances,,,No,yes,,Prepublication platform,Strong screening,Yes,Yes,No,No,No,No,Minimal / unclear indexing,Permanent with limited removal exceptions,Unknown
Arabixiv,Arabixiv,Arabixiv,https://arabixiv.org/,No,Multidisciplinary,Academic community group,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Yes,Yes,All scientific fields,Academic community group,Not Active,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,,No,,,Preprint server,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
ARPHA Preprints,ARPHA proceedings,ARPHA Preprints,https://preprints.arphahub.com/,Yes,Multidisciplinary,Publisher,No direct submission,No,Yes,Preprint only,Single-blind,Unknown,Unknown,Unknown,Unknown,Unknown,No,All scientific fields,Owned by publisher and technology provider,"No direct submission - authors submit to journals, and preprints are posted here","Content within scope, no offensive language, pseudoscience, plagiarism, or other unethical content","Google Scholar, Microsoft Academic, Unpaywall",Permanent with some removal options in exceptional circumstances,No publication charges,preprint platform,No,,,Other / unclear,Strong screening,Yes,Yes,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
ART-Dok,ART-Dok,ART-Dok,https://archiv.ub.uni-heidelberg.de/artdok/?source_opus=&la=en,Yes,Humanities & arts,Academic institution,Researcher (specific eligibility),Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,No,"Art, Photography and Design",Academic institution,Researcher (specific),,,,no,publication platform,No,yes,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
arXiv,arXiv,arXiv,https://arxiv.org/,Yes,Multidisciplinary,Academic institution,Researcher (specific eligibility),Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,Unknown,Yes,No,"Multiple scientific fields, including quantitative biology*",Academic institution,Researcher (specific),"Content within scope & of scholarly archival interest to arXiv's community, Text overlap detection,  formatting checks, no offensive material; author screening (endorsement system)","Google Scholar, Crossref, Europe PMC and PubMed (NIH-supported preprints only), Preprint Citation Index",Permanent with no removal options (as long as archive exists),no fees or costs for article submission,e-print archive,No,yes,,E-print archive,Strong screening,Yes,Yes,Yes,Yes,Yes,Yes,Broadly indexed,"Permanent, no removal",Free
Authorea (WileY),Authorea Inc.,Authorea Inc.,https://www.authorea.com/preprints,Yes,Multidisciplinary,Publisher,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,No,All scientific fields,Publishing organisation (publisher),Researcher,,"SciLit, Crossref, Google Scholar, Europe PMC",Unclear,,preprint repository,No,yes | update by authors,,Repository,Basic screening,Yes,Yes,Yes,Yes,Yes,No,Broadly indexed,Unclear,Unknown
BEC preprints / Oroboros Instruments,Oroboros Instruments,BEC preprints,https://www.mitofit.org/index.php/BEC_preprints,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,No,Unknown,Unknown,Unknown,Yes,"Subject-specific, including mitochondrial physiology, bioenergetics, ergodynamics",Life sciences tech company,Researcher,"Content within scope , Manuscript is complete (methods, references), Data is available (if applicable), All authors notified, Legal compliance, Ethical compliance, Potential for harm if posted",Google Scholar,Permanent with some removal options in exceptional circumstances,,preprint server,No,yes,no,Preprint server,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
Beilstein Archives,Beilstein Archives,Beilstein Archives,https://www.beilstein-archives.org/xiv/,Yes,Physical sciences,Other / unclear,No direct submission,No,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,Chemical sciences (as of 2025 only organic chemistry & nanotechnology),Scientific institute/ non-profit organisation,No direct submission - authors submit to journals,"Content within scope, scholarly nature, text overlap detection, no offensive material",,Permanent with some removal options in exceptional circumstances,,preprint server,No,,,Preprint server,Moderate screening,Yes,Yes,No,No,No,No,Minimal / unclear indexing,Permanent with limited removal exceptions,Unknown
Bepress Legal Repository,Bepress Legal Repository,Bepress Legal Repository,https://law.bepress.com/,Yes,Other / unclear,Other / unclear,No direct submission,No,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,No direct submission - compiles published content from Digital Common-hosted law institutional repositories including their journals,,,,,working papers and pre-print repository,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
BioHackrXiv,BioHackrXiv,BioHackrXiv,https://biohackrxiv.org/,Yes,Multidisciplinary,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,All scientific fields,Individual or community,Researcher,"Akismet spam filtering (automatic on all OSF content) , Content within scope",Europe PMC,Permanent with withdrawal option and some removal options in exceptional circumstances,no,,No,,,Preprint server,Basic screening,No,No,No,No,Yes,No,Selectively indexed,Permanent with withdrawal marking,Unknown
bioRxiv,bioRxiv,bioRxiv,https://www.biorxiv.org/,Yes,Multidisciplinary,Academic institution,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,Broad life & biomedical research. Subject categories listed under Scope at https://www.biorxiv.org/about-biorxiv,Academic institution,Researcher,"Content within scope, Text overlap detection (plagiarism detection), Legal compliance, Potential for harm if posted","Google Scholar, Microsoft Academic, Meta, Europe PMC, SHARE, Crossref, PubMed (NIH-supported preprints only), Preprint Citation Index",Permanent with withdrawal options and (rare) removal in exceptional circumstances,,preprint server,No,,,Preprint server,Strong screening,Yes,No,Yes,Yes,Yes,Yes,Broadly indexed,Permanent with withdrawal marking,Unknown
BodoArxiv,BodoArXiv,BodoArXiv,https://osf.io/preprints/bodoarxiv/,Yes,Humanities & arts,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,Relating to digital scholarship in Digitial Humanities and international and area studies,Individual or community,Researcher,"Akismet spam filtering (automatic on all OSF content) , Content within scope",,Permanent with withdrawal option and some removal options in exceptional circumstances,,repository,No,,,Repository,Basic screening,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with withdrawal marking,Unknown
Cambridge Open Engage,Cambridge Open Engage,Cambridge Open Engage,https://www.cambridge.org/engage/coe/public-dashboard,Yes,Life sciences & biomedicine,Publisher,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,All except clinical medicine,Publishing organisation (publisher),Researcher,"Content within scope, text overlap detection, legal compliance, ethical compliance, potential for harm if posted","Google Scholar, CrossRef",Permanent with withdrawal option and some removal options in exceptional circumstances,,content platform,No,yes,,Other / unclear,Strong screening,Yes,Yes,Yes,Yes,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
CERN document server,CERN document server,CERN document server,https://cds.cern.ch/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,document server,No,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
ChemRxiv,ChemRxiv,ChemRxiv,https://chemrxiv.org/engage/chemrxiv/public-dashboard,Yes,Physical sciences,Scientific society,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,"Subject-specific, including biological and medicinal chemistry",Scientific society,Researcher,"Content within scope, Manuscript is complete, Data is available (if applicable), Code is available (if applicable), Text overlap detection, Misconduct or integrity checks, All authors notified, Legal compliance, Originality, Potential for harm if posted","Google Scholar, Europe PMC, Chemical Abstracts Services, Crossref, PubMed (NIH-supported COVID preprints only), ProQuest, Scopus, Preprint Citation Index",Permanent with some removal options in exceptional circumstances,no,,No,yes,,Repository,Strong screening,Yes,No,Yes,Yes,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
CogPrints,CogPrints (Cogprints),CogPrints,http://cogprints.org/,No,Other / unclear,Other / unclear,Not active,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Not Active,,,,,e-print archive,No,,,E-print archive,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
CoP Preprints,CoP,CoP,https://collegeofphlebology.com/cop-preprints/,No,Other / unclear,Other / unclear,Not active,Unknown,Yes,Hybrid / mixed,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Not Active - to check - says coming soon,,,,,pre-print,Unk,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Covid-19 Preprints,Covid-19 Preprints,Covid-19 Preprints,https://covid19-preprints.microbe.ru/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,No,,,Researcher,,,,,preprint service,No,yes,,Other / unclear,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
CrimRxiv,CrimRxiv,CrimRxiv,https://www.crimrxiv.com/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,No,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,open repository,No,no,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
CrossAsia-Repository,CrossAsia-Repository (Universität Heidelberg),CrossAsia-Repository,https://repository.crossasia.org/content/index.xml,No,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,open repository,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Digital Access to Scholarship Harvard,Digital Access to Scholarship at Harvard (DASH) (Harvard University),Digital Access to Scholarship at Harvard (DASH) (Harvard University),https://dash.harvard.edu/,Yes,Other / unclear,Other / unclear,Researcher (specific eligibility),Yes,No,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,,,Researcher (specific),,,,,open repository,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Dspace @ MIT,DSpace@MIT (Massachusetts Institute of Technology),DSpace@MIT,http://dspace.mit.edu/,Yes,Other / unclear,Other / unclear,Researcher (specific eligibility),Yes,No,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher (specific),,,,,digital repository,No,no,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
e-LIS,E-LIS Repository (University of Naples Federico II),E-LIS Repository,http://eprints.rclis.org/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,ePrint repository,No,no,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
ESSOAr,Earth and Space Science Open Archive,Earth and Space Science Open Archive,https://essopenarchive.org/,Yes,Life sciences & biomedicine,Publisher,Researcher,Yes,No,Preprint only,None,Yes,Yes,Unknown,Unknown,Unknown,Yes,"Relating to earth, environmental, and space sciences (subject-specific topics include biology, microbiology and public health)",Scientific society; Publishing organisation (publisher),Researcher,"Text overlap detection, Misconduct or integrity checks","Google Scholar, SHARE, Crossref",Permanent with some removal options in exceptional circumstances,,preprint server,No,yes,yes,Preprint server,Strong screening,Yes,Yes,Yes,Yes,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
EarthArXiv,EarthArXiv,EarthArXiv,https://eartharxiv.org/,Yes,Multidisciplinary,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,"Multiple scientific fields relating to earth sciences, not including life or biomedical sciences",separate infrastructure and governance responsibilities,Researcher,"Content within scope, Text overlap detection, Manuscript is complete (methods, references)","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with some removal options in exceptional circumstances,,,No,This is a Preprint and has not been peer reviewed. This is version 1 of this Preprint.,,Preprint server,Moderate screening,Yes,Yes,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
EasyChair preprints,EasyChair preprint,EasyChair preprint,https://easychair.org/publications/preprints,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,preprint series,No,no,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
EcoEvoRxiv,EcoEvoRxiv,EcoEvoRxiv,https://ecoevorxiv.org/,Yes,Other / unclear,Academic community group,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,No,"Subject-specific, including ecology, evolution and conservation",Academic community group,Researcher,"Text overlap detection, Misconduct or integrity checks, Legal compliance, Ethical compliance","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,,No,This is a Preprint and has not been peer reviewed. This is version 1 of this Preprint.,,Repository,Strong screening,Yes,Yes,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
EconStor,EconStor Preprints,EconStor Preprints,https://www.econstor.eu/,Yes,Other / unclear,Other / unclear,Organization / institution,Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,,,Researcher and Institutions,,,,,,No,yes,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
ECSarXiv,ECSarXiv,ECSarXiv,https://osf.io/preprints/ecsarxiv/,Yes,Multidisciplinary,Scientific society,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,"Multiple scientific fields relating to electrochemistry and solid state science and technology, not including life or biomedical sciences",Scientific society,Researcher,", Legal compliance, Ethical compliance, Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,no,preprint service,No,yes,,Other / unclear,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
EdArXiv,EdArXiv,EdArXiv,https://osf.io/preprints/edarxiv/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,Relating to education research,Individual or community,Researcher,"Akismet spam filtering (automatic on all OSF content) , Content within scope",,Permanent with withdrawal option and some removal options in exceptional circumstances,no,preprint server,No,yes,,Preprint server,Basic screening,No,No,No,No,No,No,Minimal / unclear indexing,Permanent with withdrawal marking,Unknown
EGUsphere,EGUsphere,EGUsphere,https://egusphere.net/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,preprint repository,No,no,,Repository,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Electronic Colloquium on Computational Complexity,Electron. Colloquium Comput. Complex.,Electron Colloquium Comput Complex,https://eccc.weizmann.ac.il/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,forum and repository,No,no,,Repository,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
ELife,eLife,eLife,https://elifesciences.org/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Hybrid / mixed,Public/community review,Yes,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,non-profit organisation,Yes,yes,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
elpub preprints*,ELPUB (Universitat Wuppertal),ELPUB (Universitat Wuppertal),https://elpub.episciences.org/,No,Other / unclear,Other / unclear,Not active,Unknown,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Not Active,,,,,conference proceedings (journal),No,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
EmeRI,EmeRI,EmeRI,https://preprints.ibict.br/,Yes,Other / unclear,Other / unclear,No direct submission,No,Yes,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,No direct submission - authors submit to journals,,,,,preprint repository,No,no,,Repository,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Encyclopedia platform,Encyclopedia,Encyclopedia,https://encyclopedia.pub/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,Researcher,,,,,,No,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
EnerarXiv,EnerarXiv,EnerarXiv,https://www.enerarxiv.org/index.html,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,,preprint collection,No,no,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
engrXiv,engrXiv,engrXiv,https://engrxiv.org/,Yes,Multidisciplinary,Academic institution,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,"Multiple scientific fields relating to engineering, including biochemical and biomolecular engineering*",Academic institution,Researcher,"Akismet spam filtering (automatic on all OSF content), Content within scope , Legal compliance","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint server,No,yes,,Preprint server,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
F1000 Research,F1000Research,F1000Research,https://f1000research.com/,Yes,Multidisciplinary,Publisher,Researcher,Yes,No,Hybrid / mixed,None,Yes,Yes,Unknown,Unknown,Unknown,No,"Broad life & biomedical research, including basic scientific, translational and clinical research within the life sciences and medicine",Publishing organisation (publisher),Researcher,"Data is available (if applicable), Code is available (if applicable), Text overlap detection, Misconduct or integrity checks, All authors notified, Authors meet criteria (https://f1000research.com/about/policies#aaa), Other: Originality","Google Scholar, Europe PMC, SHARE, SciLit, Prepubmed",Permanent with some removal options in exceptional circumstances,,publishing platform,Yes,yes,yes,Publishing venue / platform,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
figshare,figshare,figshare,https://figshare.com/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,,,Researcher,,,,,repository platform,No,,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
FocUS Archive,FocUS Archive,FocUS Archive,https://osf.io/preprints/focusarchive,Yes,Life sciences & biomedicine,Funder,Researcher,Yes,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,"Relating to ultrasound, including life sciences, medicine and health sciences",Funding organisation (funder); Medical research organisation,Researcher,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint space,No,yes,,Other / unclear,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
FrenXiv,Frenxiv,Frenxiv,https://osf.io/preprints/frenxiv/,No,Multidisciplinary,Other / unclear,Not active,Unknown,Yes,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,All scientific fields,Individual or community,Not Active,"Akismet spam filtering (automatic on all OSF content), Content within scope","Google Scholar, SHARE, Microsoft Academic, Unpaywall",Permanent with withdrawal option and some removal options in exceptional circumstances,,preprint repository,No,yes,,Repository,Basic screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with withdrawal marking,Unknown
Gates Open Research,Gates Open Research,Gates Open Research,https://gatesopenresearch.org/,No,Life sciences & biomedicine,Funder,Mixed / unclear,No,No,Hybrid / mixed,Open peer review,Yes,Yes,Yes,No,Unknown,Yes,"Global health, global development, global growth and opportunity (any scope in which the foundation makes investments)",Funding organisation (funder),"Submission not possible, made through verixiv","Data is available (if applicable), Code is available (if applicable), Text overlap detection, All authors notified, One author affiliated with Gates, Legal compliance, Ethical compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in exceptional circumstances,,publication platform,Yes,yes,yes,Other / unclear,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
Hyper Articles en Ligne (HAL),HAL (Le Centre pour la Communication Scientifique Directe),HAL,https://hal.science/,Yes,Other / unclear,Other / unclear,Organization / institution,Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,,,Researcher + Institutions,,,,,open archive,No,yes,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
HANS Publication PrePrints,HANS Publication PrePrints,HANS Publication PrePrints,https://www.hanspub.org/journal/page_journal_special_issues?JournalID=8829,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,No,Unknown,Unknown,No,Unknown,Yes,,,Researcher,,,,no,preprint service,No,no,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
HRB Open Research,HRB Open Research,HRB Open Research,https://hrbopenresearch.org/,Yes,Multidisciplinary,Funder,Researcher (specific eligibility),Yes,Yes,Hybrid / mixed,Open peer review,Yes,Yes,Yes,No,Unknown,Yes,"Broad life & biomedical research, including exploratory, translational, biomedical, clinical, epidemiological, health services research",Funding organisation (funder),Researcher (specific),"Data is available (if applicable), Code is available (if applicable), All authors notified, One author affiliated with HRB, Text overlap detection, Legal compliance, Ethical compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in exceptional circumstances,,open platform,Yes,yes,yes,Other / unclear,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
Commons Open Repository Exchange (CORE) / Humanities Commons,Humanities Commons CORE (Modern Language Association / Columbia University),Humanities Commons CORE,https://works.hcommons.org/,Yes,Other / unclear,Other / unclear,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,Unknown,Unknown,Yes,,,Researcher,,,,,open repository,No,yes,,Repository,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
