server_name,server_name_rule_file,source_id,server_main_page_link,is_active_2026,scope_group,ownership_group,submission_group,researcher_can_submit,is_preprint_only,platform_model,review_type_group,versioning_available,publication_status_tracking,can_identify_peer_reviewed_version,has_medical_warning,has_server_statistics,has_preprint_metrics,raw_disciplinary_scope,raw_ownership_type,raw_submission_text,raw_screening_processes,raw_external_content_indexing,raw_permanence,raw_charges,raw_self_definition,raw_platform_model,raw_versioning,raw_publication_status,platform_type_group,screening_level,has_warning_label,has_non_peer_review_notice,indexed_google_scholar,indexed_crossref,indexed_europe_pmc,indexed_pubmed_pathway,indexing_group,permanence_group,charges_group
UnisaRxiv,UnisaRxiv,UnisaRxiv,www.scienceopen.com/collection/UnisaRxiv,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Hybrid / mixed,Open peer review,Unknown,Unknown,Unknown,No,Unknown,No,,,Researcher,,,,,preprint platform,Yes,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
VeriXiv,VeriXiv,VeriXiv,https://verixiv.org/,Yes,Multidisciplinary,Funder,Researcher,Yes,Yes,Hybrid / mixed,Open peer review,Yes,Unknown,Unknown,No,Unknown,Yes,All fields of research with at least one author currently or previously funded by the Gates Foundation,Funding organisation (funder),Researcher,"Data is available (if applicable), Code is available (if applicable), Text overlap detection (plagiarism detection), Misconduct or integrity checks (eg image duplication, statistics), Legal compliance, Ethical compliance, Originality; Gates grant number verification",Google Scholar,Permanent with some removal options in exceptional circumstances,,Preprint Server,Yes,yes,,Preprint server,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
ViXra,viXra,viXra,https://vixra.org/,Yes,Multidisciplinary,Other / unclear,Researcher,Yes,Yes,Hybrid / mixed,None,Yes,Unknown,Unknown,Unknown,Unknown,No,"Multiple scientific fields, including biology*",Individual or community,Researcher,"Text overlap detection, Misconduct or integrity checks, Legal compliance, Ethical compliance",Not indexed,Content may be removed by author (or operator/owner),,e-print archive,Yes,yes,,E-print archive,Strong screening,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Wellcome Open Research,Wellcome Open Research,Wellcome Open Research,https://wellcomeopenresearch.org/,Yes,Multidisciplinary,Funder,Researcher (specific eligibility),Yes,Yes,Hybrid / mixed,Open peer review,Yes,Unknown,Unknown,No,Unknown,Yes,"Broad life & biomedical research, including basic scientific, translational and clinical research",Funding organisation (funder),Researcher (specific),"Data is available (if applicable), Code is available (if applicable), All authors notified, Author has Wellcome grant, Legal compliance, Ethical compliance","Google Scholar, Prepubmed, Europe PMC, SciLit",Permanent with some removal options in exceptional circumstances,,publishing platform,Yes,yes,,Publishing venue / platform,Strong screening,No,No,Yes,No,Yes,Yes,Broadly indexed,Permanent with limited removal exceptions,Unknown
WikiJournal Preprints,,WikiJournal Preprints,https://en.wikiversity.org/wiki/WikiJournal_Preprints,No,Other / unclear,Other / unclear,Researcher,Yes,Yes,Hybrid / mixed,Public/community review,Unknown,Yes,Yes,No,Unknown,No,,,Researcher,,,,,preprint server,Yes,,yes,Preprint server,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
Zenodo,Zenodo,Zenodo,https://zenodo.org/,Yes,Multidisciplinary,Other / unclear,Researcher,Yes,No,Preprint only,None,Yes,Unknown,Unknown,No,Unknown,Yes,"All fields of research, for non-military purposes only.",Intergovernmental organisation,Researcher,"Content within scope, Potential for harm if posted, Legal compliance, Ethical compliance","Google Scholar, SHARE, Microsoft Academic, Unpaywall,  OpenAIRE, DCI, Mendeley Data, Figshare",Permanent with some removal options in exceptional circumstances,,catch-all repository,No,yes,,Repository,Strong screening,No,No,Yes,No,No,No,Selectively indexed,Permanent with limited removal exceptions,Unknown
WikiJournal of Humanities,WikiJournal of Humanities,,https://en.wikiversity.org/wiki/WikiJournal_of_Humanities,No,Other / unclear,Other / unclear,Mixed / unclear,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,,,,,,,,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
WikiJournal of Medicine,WikiJournal of Medicine,,https://en.wikiversity.org/wiki/WikiJournal_of_Medicine,No,Other / unclear,Other / unclear,Mixed / unclear,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,,,,,,,,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
WikiJournal of Science,WikiJournal of Science,,https://en.wikiversity.org/wiki/WikiJournal_of_Science,No,Other / unclear,Other / unclear,Mixed / unclear,Unknown,Yes,Preprint only,None,Unknown,Unknown,Unknown,Unknown,Unknown,No,,,,,,,,,,,,Other / unclear,None / not described,No,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
ai.vixra.org,ai.vixra.org,,https://ai.vixra.org/,Yes,Other / unclear,Other / unclear,Researcher,Yes,Yes,Preprint only,None,Unknown,Unknown,Unknown,No,Unknown,No,,,Researcher,,,,,e-print archive,No,,,E-print archive,None / not described,Yes,No,No,No,No,No,Minimal / unclear indexing,Unclear,Unknown
